python-pyqt5-webengine 5.15.6-1.1
python-six 1.16.0-6
python-wheel 0.38.4-1
python-yaml 6.0-1
qt5-base 5.15.8+kde+r183-1
qt5-declarative 5.15.8+kde+r24-2
qt5-location 5.15.8+kde+r4-2
qt5-translations 5.15.8-1
qt5-webchannel 5.15.8+kde+r3-1
qt5-webengine 5.15.13-1
qt5-x11extras 5.15.8-1
qutebrowser 2.5.4-1
rav1e 0.6.3-1
re2 1:20230301-1
readline 8.2.001-2
rhash 1.4.3-1
ripgrep 13.0.0-3
rofi-lbonn-wayland-git 1.7.5.wayland1.r48.gd06095b5-1
rsync 3.2.7-4
rtkit 0.13-2
run-parts 5.5-1
rust 1:1.68.1-1
sbc 2.0-1
sbcl 2.3.1-1
scdoc 1.11.2-5
sddm 0.19.0-9
sdl12-compat 1.2.60-1
sdl2 2.26.4-1
seatd 0.7.0-3
sed 4.9-3
semver 7.3.8-1
serd 0.30.16-1
sfsexp 1.4.0-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
snappy 1.1.9-2
sndio 1.9.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spotify-tui 0.25.0-3
spotifyd 0.3.4-1
sqlite 3.41.1-1
sratom 0.6.14-1
srt 1.5.1-3
starship 1.13.1-1
startup-notification 0.12-7
stfl 0.24-5
strace 6.2-1
sudo 1.9.13.p3-1
swappy 1.5.1-1
swaybg 1.2.0-1
swayfx-git r6956.7d5d7a30-1
swayidle 1.8.0-1
swaylock-effects 1.6.4-1
swaync-git v0.8.0.r12.g81bf4bd-1
swayosd-git r16.9f294d8-1
sysfsutils 2.1.1-1
systemd 253.1-3
systemd-libs 253.1-3
systemd-sysvcompat 253.1-3
talloc 2.4.0-2
tar 1.34-2
tdb 1.4.8-1
texinfo 7.0.2-2.1
thin-provisioning-tools 1.0.3-1
thunar 4.18.4-1
tinycompress 1.2.8-2
tmux 3.3_a-3
tpm2-tss 3.2.0-3
tracker3 3.5.0-1
trash-cli 0.23.2.13.2-1
tree 2.1.0-1
tree-sitter 0.20.8-1
tslib 1.22-1
ttf-blex-nerd-font-git 20230322-1
tzdata 2022g-2
uboot-asahi 2023.01.asahi3-1
udisks2 2.9.4-1
ufw 0.36.1-1
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.0-3
usbmuxd 1.1.1-2
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
v4l-utils 1.24.1-1
vala 0.56.4-1
vi 1:070224-6
vid.stab 1.1-3
vim 9.0.1420-1
vim-runtime 9.0.1420-1
volume_key 0.3.12-7
vscodium-bin 1.76.2.23074-1
vulkan-icd-loader 1.3.240-1
waybar-git r2459.473eb098-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webkit2gtk 2.40.0-2
webkit2gtk-4.1 2.40.0-2
webrtc-audio-processing 0.3.1-3.1
wget 1.21.3-1
which 2.21-6
wireguard-tools 1.0.20210914-1
wireplumber 0.4.14-1
wl-clipboard 1:2.1.0-3
wlogout 1.1.1-3
wlroots 0.16.2-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.1-1
wxwidgets-common 3.2.2.1-1
wxwidgets-gtk3 3.2.2.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapian-core 1:1.4.22-1
xapp 2.4.2-2
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-1
xdg-desktop-portal-wlr 0.6.0-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xfconf 4.18.0-1
xfsprogs 6.1.1-2
xkeyboard-config-asahi 2.35.1_3-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.7-1
xorg-server-common 21.1.7-1
xorg-setxkbmap 1.3.3-2
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.3-4
xorg-xinit 1.4.2-1
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.2-1
zathura 0.5.2-2
zathura-pdf-mupdf 0.4.0-2
zathura-ps 0.2.7-2
zenity 3.44.0-3
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zoxide 0.9.0-1
zsh 5.9-3
zstd 1.5.4-1
